-1,125000
0,125000
0,972250
0,972250
0,972250
1449,972250
1449,1110250
1449,1110250
1449,1110250
2749,1110250
2749,1035625
2749,1035625
2749,1035625
4149,1035625
4149,841625
4149,841625
4149,841625
5549,841625
5549,382375
5549,382375
5549,382375
7049,382375
7049,1029625
7049,1029625
7049,1029625
8349,1029625
8349,1016375
8349,1016375
8349,1016375
9749,1016375
9749,834875
9749,834875
9749,834875
11249,834875
11249,897500
11249,897500
11249,897500
12649,897500
12649,1161750
12649,1161750
12649,1161750
13949,1161750
13949,925500
13949,925500
13949,925500
15449,925500
15449,982375
15449,982375
15449,982375
16749,982375
16749,369875
16749,369875
16749,369875
18249,369875
18249,429000
18249,429000
18249,429000
19649,429000
19649,473375
19649,473375
19649,473375
21049,473375
21049,820250
21049,820250
21049,820250
22449,820250
22449,976250
22449,976250
22449,976250
23849,976250
23849,1116125
23849,1116125
23849,1116125
25149,1116125
25149,1085125
25149,1085125
25149,1085125
26549,1085125
26549,874250
26549,874250
26549,874250
27949,874250
27949,841750
27949,841750
27949,841750
29349,841750
29349,815250
29349,815250
29349,815250
30849,815250
30849,1044250
30849,1044250
30849,1044250
32249,1044250
32249,1071750
32249,1071750
32249,1071750
33549,1071750
33549,584375
33549,584375
33549,584375
35049,584375
35049,1029250
35049,1029250
35049,1029250
36449,1029250
36449,1066625
36449,1066625
36449,1066625
37749,1066625
37749,819125
37749,819125
37749,819125
39249,819125
39249,850750
39249,850750
39249,850750
39999,850750
